MAKE,MODEL,GRADE,CHASSIS NO,STOCK_ID,COLOUR,IMAGE_URL,ENGINE CC,MILEAGE,YEAR/MONTH,LOCATION,PRICE,FEATURES,YEAR,MAKE_MODEL
SUBARU,IMPREZA,"{'grade_uuid': 'a07ed516-501d-4ea7-9ca1-63fbee33902f', 'grade': 'XV'}",71991,71991,BLACK,,2000,148772,201805.0,NAIROBI,0,,2018,SUBARU IMPREZA
BMW,320I,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",90654,90654,BLUE,,2000,115225,201903.0,JAPAN,0,,2019,BMW 320I
LANDROVER,RANGE ROVER,"{'grade_uuid': 'a07ed516-4f81-4c10-b0bf-8696874ae5ab', 'grade': 'EVOQUE'}",01383,01383,WHITE,,2000,50700,201908.0,JAPAN,0,,2019,LANDROVER RANGE ROVER
MAZDA,DEMIO,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",10592,10592,SILVER,,1500,30725,201901.0,JAPAN,0,,2019,MAZDA DEMIO
TOYOTA,YARIS CROSS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",01306,01306,BLUE,,1500,33152,202011.0,JAPAN,0,,2020,TOYOTA YARIS CROSS
TOYOTA,SUCCEED,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",17503,17503,WHITE,,1500,167656,202003.0,JAPAN,0,,2020,TOYOTA SUCCEED
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",35272,35272,PEARL,,3300,16387,202211.0,JAPAN,0,,2022,TOYOTA LANDCRUSIER
TOYOTA,LANDCRUSIER,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",17587,17587,PEARL,,3300,32804,202204.0,JAPAN,0,,2022,TOYOTA LANDCRUSIER
VOLKSWAGEN,ARTEON,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",03532,03532,BLACK,,2000,98642,201903.0,JAPAN,0,,2019,VOLKSWAGEN ARTEON
TOYOTA,ALPHARD,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",70803,70803,BLACK,,2500,84900,201907.0,JAPAN,0,,2019,TOYOTA ALPHARD
VOLKSWAGEN,T-CROSS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",64929,64929,GREY,,1000,88374,202105.0,JAPAN,0,,2021,VOLKSWAGEN T-CROSS
VOLKSWAGEN,ARTEON,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",10739,10739,BLACK,,2000,27385,201902.0,JAPAN,0,,2019,VOLKSWAGEN ARTEON
VOLKSWAGEN,T-CROSS,"{'grade_uuid': 'dd9a195b-cf75-4220-8d12-92ae589cad59', 'grade': 'Moda'}",41948,41948,BLACK,,1000,63125,202010.0,JAPAN,0,,2020,VOLKSWAGEN T-CROSS
